-500000 , -0.9592867386407842 , -500000 , -0.9263116023252514
-510000 , -0.9774538265777848 , -510000 , -0.9442079092623576
-520000 , -0.9956349680235839 , -520000 , -0.9621773279059531
-530000 , -1.013785994807671 , -530000 , -0.98006133802286
-540000 , -1.031965797824061 , -540000 , -0.9980413804498933
-550000 , -1.0501271974360713 , -550000 , -1.0159398623347893
-560000 , -1.0682943690249096 , -560000 , -1.0339407340695066
-570000 , -1.0864664760721954 , -570000 , -1.0518239076680327
-580000 , -1.1046410090227856 , -580000 , -1.0697749229072486
-590000 , -1.1228205610836612 , -590000 , -1.0876940667961532
-600000 , -1.1410119080537076 , -600000 , -1.1056721852309102
