-450000 , -0.8684134883249663 , -450000 , -0.8363718228706697
-460000 , -0.8866160446413165 , -460000 , -0.8542324941247497
-470000 , -0.9047800374603074 , -470000 , -0.8721487101993208
-480000 , -0.9229445321903271 , -480000 , -0.8900842498484905
-490000 , -0.941091460034348 , -490000 , -0.9079806404374346
-500000 , -0.9592609738746529 , -500000 , -0.9259067274289
-510000 , -0.9774136736955018 , -510000 , -0.9438559859795167
-520000 , -0.9955921382824823 , -520000 , -0.9618369485767686
-530000 , -1.0137291952096088 , -530000 , -0.9797354304616649
-540000 , -1.031923553645826 , -540000 , -0.9977027578093083
-550000 , -1.050082861961884 , -550000 , -1.0156381301548019
-560000 , -1.0682456000033038 , -560000 , -1.0336531390501562
-570000 , -1.0864218059906559 , -570000 , -1.0515464345210908
-580000 , -1.1045900650533895 , -580000 , -1.0695062332033065
-590000 , -1.1227800735940259 , -590000 , -1.087466868403903
-600000 , -1.140961800602692 , -600000 , -1.1054264161306042
-610000 , -1.159133154783435 , -610000 , -1.1233663893271926
-620000 , -1.1773369658773565 , -620000 , -1.1413816491780613
-630000 , -1.1955094075319943 , -630000 , -1.1593309077286778
-640000 , -1.2136915527998506 , -640000 , -1.1772927977068453
-650000 , -1.2318666713133077 , -650000 , -1.195264809557422
-660000 , -1.2500883839005803 , -660000 , -1.2132376579263795
-670000 , -1.2682374030405534 , -670000 , -1.2312253963225164
-680000 , -1.286436947890732 , -680000 , -1.2491847767455417
-690000 , -1.3046345687486351 , -690000 , -1.267122742298016
-700000 , -1.3228189726161195 , -700000 , -1.2850624645390902
-710000 , -1.3410080609865376 , -710000 , -1.303038575329733
-720000 , -1.3591944724981364 , -720000 , -1.3209921837759302
-730000 , -1.377372100566736 , -730000 , -1.3389470469996982
-740000 , -1.3955769154827147 , -740000 , -1.3568758945018211
-750000 , -1.413763745253504 , -750000 , -1.3748734201630146
-760000 , -1.4319360196044657 , -760000 , -1.3928626642922375
-770000 , -1.4501290396112738 , -770000 , -1.4108258926998147
-780000 , -1.4683297555871857 , -780000 , -1.4288405669878166
-790000 , -1.4865022808936619 , -790000 , -1.446819856548307
-800000 , -1.5046961374188512 , -800000 , -1.464781160963608
-810000 , -1.5229148385399522 , -810000 , -1.4827499940443376
